001YMNTL22028540YSUP0;"Michelin PILOT SPORT 4 SUV 285/40R22 110Y XL";1;"Not parsed yet";;PLN;1978.00;1978.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-suv-285-40-r22-110-y-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_SUV.jpg;2023-04-21T14:56:10.843101Z;"Not parsed yet"
002Y110416;"Pirelli Scorpion Winter 285/45R21 113W XL Lamborghini";1;"Not parsed yet";;PLN;1980.00;1980.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-285-45-r21-113-w-xl-fr-lamborghini;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.849036Z;"Not parsed yet"
006X3528708174320;"Michelin PILOT ALPIN 5 SUV 315/40R21 115V XL";1;"Not parsed yet";;PLN;1981.00;1981.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-alpin-5-suv-315-40-r21-115-v-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_ALPIN_5_SUV.jpg;2023-04-21T14:56:10.851657Z;"Not parsed yet"
006X3528702618684;"Michelin PILOT SPORT 4 S 335/25R22 105Y XL";1;"Not parsed yet";;PLN;1988.00;1988.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-335-25-r22-105-y-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.854674Z;"Not parsed yet"
INT9488;"Pirelli Scorpion Winter 315/30R22 107V XL";1;"Not parsed yet";;PLN;2015.00;2015.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-315-30-r22-107-v-xl;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.857463Z;"Not parsed yet"
002Y171235;"Pirelli Scorpion Winter 2 295/35R23 108W XL";1;"Not parsed yet";;PLN;2026.00;2026.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-2-295-35-r23-108-w-xl;https://media.noweopony.net/media/tyres/treads/Scorpion-Winter-2-gallery-3-4-4505527507214.jpg;2023-04-21T14:56:10.859782Z;"Not parsed yet"
006X3528706552991;"Michelin PILOT ALPIN PA4 295/30R20 101V XL Porsche";1;"Not parsed yet";;PLN;2037.00;2037.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-alpin-pa4-295-30-r20-101-v-xl-fr-porsche;https://media.noweopony.net/media/tyres/treads/PILOT_ALPIN_PA4.jpg;2023-04-21T14:56:10.862753Z;"Not parsed yet"
002Y164650;"Pirelli P Zero PZ4 315/30R21 105Y XL Porsche";1;"Not parsed yet";;PLN;2041.00;2041.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz4-315-30-r21-105-y-xl-porsche;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ4.jpg;2023-04-21T14:56:10.865577Z;"Not parsed yet"
002Y54164;"Dunlop SP SPORT MAXX GT 325/30R21 108Y XL Run Flat BMW";1;"Not parsed yet";;PLN;2054.00;2054.00;0;0;https://noweopony.pl/dane-oponydunlop-sp-sport-maxx-gt-325-30-r21-108-y-xl-mfs-run-flat-bmw;https://media.noweopony.net/media/tyres/treads/SP_SPORT_MAXX_GT.jpg;2023-04-21T14:56:10.868687Z;"Not parsed yet"
002Y147587;"Pirelli P Zero PZ4 315/30R22 107Y XL BMW";1;"Not parsed yet";;PLN;2066.00;2066.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz4-315-30-r22-107-y-xl-fr-bmw;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ4.jpg;2023-04-21T14:56:10.872309Z;"Not parsed yet"
001YMNOL21027530YP4S0;"Michelin PILOT SPORT 4 S 275/30R21 98Y XL";1;"Not parsed yet";;PLN;2071.00;2071.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-275-30-r21-98-y-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.875607Z;"Not parsed yet"
002Y92924;"Pirelli P Zero PZ3 315/30R22 107Y XL Porsche";1;"Not parsed yet";;PLN;2072.00;2072.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz3-315-30-r22-107-y-xl-porsche;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ3.jpg;2023-04-21T14:56:10.879175Z;"Not parsed yet"
002Y163538;"Pirelli P Zero PZ3 285/40R22 110Y XL Bentley";1;"Not parsed yet";;PLN;2076.00;2076.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz3-285-40-r22-110-y-xl-bentley;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ3.jpg;2023-04-21T14:56:10.882980Z;"Not parsed yet"
002Y15559;"Pirelli Scorpion Ice & Snow 315/35R20 110V XL Run Flat BMW";1;"Not parsed yet";;PLN;2107.00;2107.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-ice---snow-315-35-r20-110-v-xl-fr-run-flat-bmw;https://media.noweopony.net/media/tyres/products/C_C_71_A_1_0.jpg;2023-04-21T14:56:10.886243Z;"Not parsed yet"
006X3528704015160;"Michelin PILOT SPORT 4 S 315/30R20 104Y XL";1;"Not parsed yet";;PLN;2114.00;2114.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-315-30-r20-104-y-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.890154Z;"Not parsed yet"
006X3528706085628;"Michelin PILOT SPORT 4 S 295/35R20 105Y XL Ferrari";1;"Not parsed yet";;PLN;2118.00;2118.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-295-35-r20-105-y-xl-fr-ferrari;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.894915Z;"Not parsed yet"
002Y110433;"Pirelli Scorpion Winter 315/40R21 111V Mercedes";1;"Not parsed yet";;PLN;2120.00;2120.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-315-40-r21-111-v-pncs-mercedes;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.898653Z;"Not parsed yet"
002Y181101;"Bridgestone Potenza Race 265/35R19 98Y XL";1;"Not parsed yet";;PLN;2146.00;2146.00;0;0;https://noweopony.pl/dane-oponybridgestone-potenza-race-265-35-r19-98-y-xl;https://media.noweopony.net/media/tyres/products/eprel_label_1325326.jpg;2023-04-21T14:56:10.903802Z;"Not parsed yet"
INT1184;"Michelin PILOT ALPIN 5 SUV 285/40R22 110V XL";1;"Not parsed yet";;PLN;2155.00;2155.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-alpin-5-suv-285-40-r22-110-v-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_ALPIN_5_SUV.jpg;2023-04-21T14:56:10.907202Z;"Not parsed yet"
002Y171241;"Pirelli Scorpion Winter 2 315/30R22 107V XL";1;"Not parsed yet";;PLN;2160.00;2160.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-2-315-30-r22-107-v-xl-fr-ncs;https://media.noweopony.net/media/tyres/treads/Scorpion-Winter-2-gallery-3-4-4505527507214.jpg;2023-04-21T14:56:10.911189Z;"Not parsed yet"
001YMNOL21032530YPSS0;"Michelin PILOT SUPER SPORT 325/30R21 108Y XL BMW";1;"Not parsed yet";;PLN;2167.00;2167.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-super-sport-325-30-r21-108-y-xl-fr-bmw;https://media.noweopony.net/media/tyres/treads/PILOT_SUPER_SPORT.jpg;2023-04-21T14:56:10.914997Z;"Not parsed yet"
003X4038526067647;"Goodyear EAGLE F1 SUPERSPORT RS 315/30R21 105Y XL Porsche";1;"Not parsed yet";;PLN;2176.00;2176.00;0;0;https://noweopony.pl/dane-oponygoodyear-eagle-f1-supersport-rs-315-30-r21-105-y-xl;https://media.noweopony.net/media/tyres/products/eprel_label_1100069.jpg;2023-04-21T14:56:10.919021Z;"Not parsed yet"
002Y112923;"Pirelli Scorpion Winter 275/40R22 108V XL Run Flat";1;"Not parsed yet";;PLN;2183.00;2183.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-275-40-r22-108-v-xl-fr-run-flat;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.922780Z;"Not parsed yet"
002Y171765;"Michelin PILOT ALPIN 5 SUV 285/40R23 111V XL";1;"Not parsed yet";;PLN;2196.00;2196.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-alpin-5-suv-285-40-r23-111-v-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_ALPIN_5_SUV.jpg;2023-04-21T14:56:10.925915Z;"Not parsed yet"
006X3528700609264;"Michelin PILOT ALPIN 5 SUV 285/40R22 110V XL";1;"Not parsed yet";;PLN;2196.00;2196.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-alpin-5-suv-285-40-r22-110-v-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_ALPIN_5_SUV.jpg;2023-04-21T14:56:10.928606Z;"Not parsed yet"
002Y101600;"Michelin PILOT SPORT 4 S 315/30R22 107Y XL";1;"Not parsed yet";;PLN;2202.00;2202.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-315-30-r22-107-y-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.931647Z;"Not parsed yet"
001YMNOL21031530YP4S4;"Michelin PILOT SPORT 4 S 315/30R21 105Y XL Porsche";1;"Not parsed yet";;PLN;2237.00;2237.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-315-30-r21-105-y-xl-porsche;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.934221Z;"Not parsed yet"
002Y110437;"Pirelli Scorpion Winter 315/40R21 115W XL Lamborghini";1;"Not parsed yet";;PLN;2256.00;2256.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-315-40-r21-115-w-xl-fr-lamborghini;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.937491Z;"Not parsed yet"
INT0003646;"Michelin PILOT SPORT 4 S 315/30R21 105Y XL Mercedes";1;"Not parsed yet";;PLN;2257.00;2257.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-315-30-r21-105-y-xl-fr-acoustic-mercedes;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.940597Z;"Not parsed yet"
002Y66609;"Pirelli Winter Sottozero 3 285/30R21 100W XL Audi";1;"Not parsed yet";;PLN;2273.00;2273.00;0;0;https://noweopony.pl/dane-oponypirelli-winter-sottozero-3-285-30-r21-100-w-xl-ncs-audi-s---rs;https://media.noweopony.net/media/tyres/treads/Winter_Sottozero_3.jpg;2023-04-21T14:56:10.943315Z;"Not parsed yet"
002Y184284;"Pirelli P Zero PZ4 315/35R22 111Y XL Porsche";1;"Not parsed yet";;PLN;2276.00;2276.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz4-315-35-r22-111-y-xl-porsche;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ4.jpg;2023-04-21T14:56:10.947004Z;"Not parsed yet"
002Y49826;"Pirelli Winter Sottozero Serie II 245/35R20 95V XL Run Flat";1;"Not parsed yet";;PLN;2278.00;2278.00;0;0;https://noweopony.pl/dane-oponypirelli-winter-sottozero-serie-ii-245-35-r20-95-v-xl-fr-run-flat;https://media.noweopony.net/media/tyres/treads/winter-sottozero2-3-4-1505470083282.jpg;2023-04-21T14:56:10.950425Z;"Not parsed yet"
002Y69195;"Michelin PILOT SUPER SPORT 275/30R21 98Y XL Run Flat";1;"Not parsed yet";;PLN;2285.00;2285.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-super-sport-275-30-r21-98-y-xl-fr-run-flat;https://media.noweopony.net/media/tyres/treads/PILOT_SUPER_SPORT.jpg;2023-04-21T14:56:10.954085Z;"Not parsed yet"
002Y171195;"Pirelli Scorpion Winter 2 275/40R22 108V XL Run Flat";1;"Not parsed yet";;PLN;2299.00;2299.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-2-275-40-r22-108-v-xl-fr-run-flat;https://media.noweopony.net/media/tyres/treads/Scorpion-Winter-2-gallery-3-4-4505527507214.jpg;2023-04-21T14:56:10.956675Z;"Not parsed yet"
002X4019238007770;"Continental SportContact 6 335/30R24 112Y XL";1;"Not parsed yet";;PLN;2312.00;2312.00;0;0;https://noweopony.pl/dane-oponycontinental-sportcontact-6-335-30-r24-112-y-xl-fr;https://media.noweopony.net/media/tyres/treads/SportContact_6.jpg;2023-04-21T14:56:10.959947Z;"Not parsed yet"
002Y156606;"Pirelli Scorpion Winter 285/40R22 110V XL Mercedes";1;"Not parsed yet";;PLN;2323.00;2323.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-285-40-r22-110-v-xl-fr-mercedes;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.962808Z;"Not parsed yet"
002Y105701;"Pirelli P Zero PZ4 315/40R21 115Y XL Lamborghini";1;"Not parsed yet";;PLN;2347.00;2347.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz4-315-40-r21-115-y-xl-lamborghini;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ4.jpg;2023-04-21T14:56:10.965911Z;"Not parsed yet"
001YMNOL19035530YP4S0;"Michelin PILOT SPORT 4 S 355/30R19 110Y XL";1;"Not parsed yet";;PLN;2373.00;2373.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-4-s-355-30-r19-110-y-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_4_S.jpg;2023-04-21T14:56:10.968597Z;"Not parsed yet"
002Y158511;"Pirelli Scorpion Winter 325/40R22 114V Mercedes";1;"Not parsed yet";;PLN;2382.00;2382.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-325-40-r22-114-v-mercedes;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.971715Z;"Not parsed yet"
002Y112913;"Pirelli Scorpion Winter 315/35R22 111V XL Run Flat";1;"Not parsed yet";;PLN;2419.00;2419.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-315-35-r22-111-v-xl-fr-run-flat;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.974394Z;"Not parsed yet"
002Y113358;"Pirelli Scorpion Winter 315/35R21 111V XL Run Flat BMW";1;"Not parsed yet";;PLN;2508.00;2508.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-315-35-r21-111-v-xl-fr-run-flat-bmw;https://media.noweopony.net/media/tyres/treads/Scorpion_Winter.jpg;2023-04-21T14:56:10.977703Z;"Not parsed yet"
002Y125932;"Michelin PILOT ALPIN 5 305/30R21 104V XL";1;"Not parsed yet";;PLN;2579.00;2579.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-alpin-5-305-30-r21-104-v-xl-fr;https://media.noweopony.net/media/tyres/treads/PILOT_ALPIN_5.jpg;2023-04-21T14:56:10.980603Z;"Not parsed yet"
002Y171244;"Pirelli Scorpion Winter 2 315/35R22 111V XL Run Flat";1;"Not parsed yet";;PLN;2724.00;2724.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-winter-2-315-35-r22-111-v-xl-run-flat;https://media.noweopony.net/media/tyres/treads/Scorpion-Winter-2-gallery-3-4-4505527507214.jpg;2023-04-21T14:56:10.983479Z;"Not parsed yet"
006X3528705642532;"Michelin PILOT SPORT CUP 2 315/30R20 104Y XL Ferrari";1;"Not parsed yet";;PLN;2923.00;2923.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-cup-2-315-30-r20-104-y-xl-fr-acoustic-ferrari;https://media.noweopony.net/media/tyres/treads/PILOT_SPORT_CUP_2.jpg;2023-04-21T14:56:10.986405Z;"Not parsed yet"
002Y38989;"Pirelli Scorpion Ice & Snow 325/30R21 108V XL Run Flat";1;"Not parsed yet";;PLN;3063.00;3063.00;0;0;https://noweopony.pl/dane-oponypirelli-scorpion-ice---snow-325-30-r21-108-v-xl-fr-run-flat;https://media.noweopony.net/media/tyres/products/C_C_74_B_1_0.jpg;2023-04-21T14:56:10.990602Z;"Not parsed yet"
002Y148986;"Pirelli P Zero PZ4 285/35R23 107Y XL Alpina";1;"Not parsed yet";;PLN;3074.00;3074.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz4-285-35-r23-107-y-xl-fr-pncs-alpina;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ4.jpg;2023-04-21T14:56:10.994207Z;"Not parsed yet"
002Y148979;"Pirelli P Zero PZ4 325/30R23 109Y XL Alpina";1;"Not parsed yet";;PLN;3445.00;3445.00;0;0;https://noweopony.pl/dane-oponypirelli-p-zero-pz4-325-30-r23-109-y-xl-fr-alpina;https://media.noweopony.net/media/tyres/treads/P_Zero_PZ4.jpg;2023-04-21T14:56:10.998628Z;"Not parsed yet"
006X3528704989812;"Michelin PILOT SPORT CUP 2 R 305/30R20 103Y XL Ferrari";1;"Not parsed yet";;PLN;3978.00;3978.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-cup-2-r-305-30-r20-103-y-xl-fr-ferrari;https://media.noweopony.net/media/tyres/treads/cup_2_connect_R.jpg;2023-04-21T14:56:11.002416Z;"Not parsed yet"
006X3528705995102;"Michelin PILOT SPORT CUP 2 R 335/30R20 108Y XL Mercedes";1;"Not parsed yet";;PLN;4224.00;4224.00;0;0;https://noweopony.pl/dane-oponymichelin-pilot-sport-cup-2-r-335-30-r20-108-y-xl-fr-mercedes;https://media.noweopony.net/media/tyres/treads/cup_2_connect_R.jpg;2023-04-21T14:56:11.006943Z;"Not parsed yet"
